Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP,Pfa_CI_Lo,Pfa_CI_Hi,Ratio_CI_Lo,Ratio_CI_Hi,CI_Width
CA-CFAR,15,11,1e-06,104,0,60,189,0,0,59,37914812,1.55612007254579e-06,1.55612007254579,0,31,189,0,0,0,0,1,0,NaN,NaN,0.106784567694326,-0.946225814322558,0,241.1965,1.18452265117688e-06,2.00731630828577e-06,1.18452265117688,2.00731630828577,8.2279365710889e-07
G0,15,11,1e-06,104,3,60,189,5,0.0264550264550265,300,7764771,3.86360396204859e-05,38.6360396204859,5,204,184,0.0239234449760766,0.0264550264550265,0.0251256281407035,0.788859010416667,0.211140989583333,0,26.6817507780678,45.4123808803809,0.106784567694326,-0.946225814322558,3463.04184114583,3900.06032291667,3.43873406185516e-05,4.32646819899634e-05,34.3873406185516,43.2646819899634,8.87734137141184e-06
G0-L1,15,11,1e-06,104,2,60,189,0,0,0,8108,0,0,0,0,189,0,0,0,0.999559973958333,0.000440026041666667,0,11.3807459938127,18.1420092733577,0.106784567694326,-0.946225814322558,25.8737994791667,265.513361979167,0,0.000454864383392989,0,454.864383392989,0.000454864383392989
GenGamma,15,11,1e-06,104,3,60,189,36,0.19047619047619,41798,37830402,0.0011048785577272,1104.8785577272,36,35391,153,0.00101617410449657,0.19047619047619,0.00202156334231806,0.00247018229166666,0.997529817708333,0,1.31628785683209,1.56375036937835,0.106784567694326,-0.946225814322558,182.02859375,1183.08627864583,0.00109431721513932,0.00111551636501722,1094.31721513932,1115.51636501722,2.1199149877905e-05
GenGamma-exact,15,11,1e-06,104,3,60,189,30,0.158730158730159,33095,35992858,0.000919487971752618,919.487971752618,30,28974,159,0.00103434009102193,0.158730158730159,0.00205528722638989,0.050591484375,0.949408515625,0,1.43004641393633,1.60797754295036,0.106784567694326,-0.946225814322558,459.4249453125,1434.99099479167,0.000909612458855052,0.000929443899388701,909.612458855052,929.443899388701,1.98314405336494e-05
K,15,11,1e-06,104,2,60,189,0,0,0,8108,0,0,0,0,189,0,0,0,0.999559973958333,0.000440026041666667,0,NaN,NaN,0.106784567694326,-0.946225814322558,10.8574296875,249.065911458333,0,0.000454864383392989,0,454.864383392989,0.000454864383392989
Lognormal,15,11,1e-06,104,2,60,189,4,0.0211640211640212,85,37914812,2.24186790112529e-06,2.24186790112529,4,47,185,0.0784313725490196,0.0211640211640212,0.0333333333333333,0,1,0,0.326778938543229,0.0507669837582641,0.106784567694326,-0.946225814322558,6.86997395833333,243.3833671875,1.790670059298e-06,2.77213542077302e-06,1.790670059298,2.77213542077302,9.81465361475018e-07
Weibull,15,11,1e-06,104,2,60,189,110,0.582010582010582,22818,37914812,0.000601822844327963,601.822844327963,110,10181,79,0.0106889515110291,0.582010582010582,0.0209923664122137,0,1,0,3.92482744786653,0.582178267563871,0.106784567694326,-0.946225814322558,8.48813020833334,244.756643229167,0.000594041470846724,0.000609680633708448,594.041470846724,609.680633708448,1.56391628617244e-05
BurrXII,17,13,1e-06,120,3,60,189,4,0.0211640211640212,353,22782627,1.54942623605259e-05,15.4942623605259,4,239,185,0.0164609053497942,0.0211640211640212,0.0185185185185185,0.395470494791667,0.604529505208333,0,3.05994703659689,3.4035228822435,0.107254902632758,-0.963263827290802,375.404091145833,626.284377604167,1.39198633098722e-05,1.71979596446075e-05,13.9198633098722,17.1979596446075,3.27809633473525e-06
CA-CFAR,17,13,1e-06,120,0,60,189,1,0.00529100529100529,73,37914812,1.92536890331937e-06,1.92536890331937,1,36,188,0.027027027027027,0.00529100529100529,0.00884955752212389,0,1,0,NaN,NaN,0.107254902632758,-0.963263827290802,0,225.923645833333,1.50912216340473e-06,2.42089499278979e-06,1.50912216340473,2.42089499278979,9.11772829385061e-07
G0,17,13,1e-06,120,3,60,189,6,0.0317460317460317,275,7272646,3.78129225594096e-05,37.8129225594096,6,175,183,0.0331491712707182,0.0317460317460317,0.0324324324324324,0.801336328125,0.198663671875,0,27.7170709519684,47.4557304252481,0.107254902632758,-0.963263827290802,3495.763265625,3908.89465625,3.34754988396708e-05,4.25563399681487e-05,33.4754988396708,42.5563399681487,9.08084112847787e-06
G0-L1,17,13,1e-06,120,2,60,189,0,0,0,8222,0,0,0,0,189,0,0,0,0.999522760416667,0.000477239583333333,0,10.9580077319186,18.1830346251835,0.107254902632758,-0.963263827290802,26.1724088541667,250.540401041667,0,0.000448558994432971,0,448.558994432971,0.000448558994432971
GenGamma,17,13,1e-06,120,3,60,189,31,0.164021164021164,38188,37835491,0.00100931688715233,1009.31688715233,31,32351,158,0.000957321968995121,0.164021164021164,0.00190353381842744,0.00233617187500001,0.997663828125,0,1.27074148355253,1.44352956639652,0.107254902632758,-0.963263827290802,174.547244791667,1156.51172135417,0.000999223906420342,0.00101948634277168,999.223906420342,1019.48634277168,2.02624363513412e-05
GenGamma-exact,17,13,1e-06,120,3,60,189,25,0.132275132275132,31823,36178914,0.000879600753079542,879.600753079543,25,27880,164,0.000895896792689482,0.132275132275132,0.00177973944614508,0.045698828125,0.954301171875,0,1.37691043618916,1.48945640590018,0.107254902632758,-0.963263827290802,466.2807265625,1419.31436458333,0.00086996700017152,0.000889314516506605,869.967000171521,889.314516506605,1.9347516335084e-05
K,17,13,1e-06,120,2,60,189,0,0,0,8222,0,0,0,0,189,0,0,0,0.999522760416667,0.000477239583333333,0,NaN,NaN,0.107254902632758,-0.963263827290802,11.0061770833333,233.7149140625,0,0.000448558994432971,0,448.558994432971,0.000448558994432971
Lognormal,17,13,1e-06,120,2,60,189,1,0.00529100529100529,62,37914812,1.63524482199727e-06,1.63524482199727,1,32,188,0.0303030303030303,0.00529100529100529,0.00900900900900901,0,1,0,0.327497603478077,0.0472656221105979,0.107254902632758,-0.963263827290802,6.47450260416667,227.130213541667,1.25366682597244e-06,2.09634437317981e-06,1.25366682597244,2.09634437317981,8.42677547207375e-07
Weibull,17,13,1e-06,120,2,60,189,117,0.619047619047619,22376,37914812,0.000590165131242112,590.165131242112,117,9404,72,0.0122886251444176,0.619047619047619,0.0240988671472709,0,1,0,3.91621946356527,0.541948620069244,0.107254902632758,-0.963263827290802,7.93872395833333,228.491666666667,0.000582459690547138,0.000597946991294534,582.459690547138,597.946991294534,1.54873007473961e-05
BurrXII,21,15,1e-06,216,3,60,189,8,0.0423280423280423,270,21920774,1.23170833292657e-05,12.3170833292657,8,170,181,0.0449438202247191,0.0423280423280423,0.0435967302452316,0.417703333333333,0.582296666666667,0,3.81845884259573,4.75973570938385,0.108167498172672,-1.0200093248858,353.547442708333,608.677104166667,1.08915389476073e-05,1.38773427263148e-05,10.8915389476073,13.8773427263148,2.98580377870755e-06
CA-CFAR,21,15,1e-06,216,0,60,189,4,0.0211640211640212,115,37914812,3.0331153956401e-06,3.0331153956401,4,48,185,0.0769230769230769,0.0211640211640212,0.033195020746888,0,1,0,NaN,NaN,0.108167498172672,-1.0200093248858,0,230.594299479167,2.50410265355086e-06,3.64082334758937e-06,2.50410265355086,3.64082334758937,1.1367206940385e-06
G0,21,15,1e-06,216,3,60,189,13,0.0687830687830688,286,5451580,5.24618550952201e-05,52.4618550952201,13,159,176,0.0755813953488372,0.0687830687830688,0.0720221606648199,0.848317239583333,0.151682760416667,0,35.0905701040101,64.8008252645065,0.108167498172672,-1.0200093248858,3420.378859375,3789.1345703125,4.65574756587545e-05,5.89076253693385e-05,46.5574756587545,58.9076253693385,1.2350149710584e-05
G0-L1,21,15,1e-06,216,2,60,189,0,0,0,6339,0,0,0,0,189,0,0,0,0.999582942708333,0.000417057291666667,0,13.7844098545925,21.2121687018737,0.108167498172672,-1.0200093248858,26.3593151041667,255.179208333333,0,0.000581764682151214,0,581.764682151214,0.000581764682151214
GenGamma,21,15,1e-06,216,3,60,189,26,0.137566137566138,26568,37841887,0.000702079153716621,702.079153716621,26,22150,163,0.00117243867243867,0.137566137566138,0.00232506147999106,0.002167578125,0.997832421875,0,1.13766805361489,1.0214013403839,0.108167498172672,-1.0200093248858,174.9217265625,1138.67049479167,0.00069366493638714,0.000710569906333272,693.66493638714,710.569906333272,1.69049699461313e-05
GenGamma-exact,21,15,1e-06,216,3,60,189,24,0.126984126984127,25041,36667301,0.000682924549041665,682.924549041665,24,21428,165,0.0011187768040276,0.126984126984127,0.00221801210664942,0.032916484375,0.967083515625,0,1.23747697545176,1.06444127370983,0.108167498172672,-1.0200093248858,475.497635416667,1427.29984375,0.00067449471040866,0.000691433382598964,674.49471040866,691.433382598964,1.69386721903047e-05
K,21,15,1e-06,216,2,60,189,0,0,0,6339,0,0,0,0,189,0,0,0,0.999582942708333,0.000417057291666667,0,NaN,NaN,0.108167498172672,-1.0200093248858,11.15103125,238.666377604167,0,0.000581764682151214,0,581.764682151214,0.000581764682151214
Lognormal,21,15,1e-06,216,2,60,189,1,0.00529100529100529,45,37914812,1.18687124177221e-06,1.18687124177221,1,24,188,0.04,0.00529100529100529,0.00934579439252336,0,1,0,0.328888275147962,0.0358046981281553,0.108167498172672,-1.0200093248858,6.5767109375,232.263802083333,8.65631572676862e-07,1.58816426655584e-06,0.865631572676862,1.58816426655584,7.22532693878973e-07
Weibull,21,15,1e-06,216,2,60,189,121,0.64021164021164,19868,37914812,0.000524016840700674,524.016840700674,121,7331,68,0.0162372517444981,0.64021164021164,0.0316712472189504,0,1,0,3.89965205420419,0.402700992901659,0.108167498172672,-1.0200093248858,8.22976822916667,233.438203125,0.000516757266051981,0.00053135285536508,516.757266051981,531.35285536508,1.4595589313099e-05
BurrXII,31,21,1e-06,520,3,60,189,17,0.0899470899470899,237,21937618,1.08033606930342e-05,10.8033606930342,17,115,172,0.128787878787879,0.0899470899470899,0.105919003115265,0.416839765625,0.583160234375,0,5.19052884456132,6.29112541470277,0.109036278620422,-1.06600897970777,352.0445859375,619.170169270833,9.4715730787243e-06,1.22699380950591e-05,9.4715730787243,12.2699380950591,2.79836501633477e-06
CA-CFAR,31,21,1e-06,520,0,60,189,17,0.0899470899470899,161,37914812,4.24636155389614e-06,4.24636155389614,17,54,172,0.23943661971831,0.0899470899470899,0.130769230769231,0,1,0,NaN,NaN,0.109036278620422,-1.06600897970777,0,244.015575520833,3.61572999004877e-06,4.95533002775999e-06,3.61572999004877,4.95533002775999,1.33960003771122e-06
G0,31,21,1e-06,520,3,60,189,21,0.111111111111111,188,4462993,4.21241978197143e-05,42.1241978197143,21,91,168,0.1875,0.111111111111111,0.13953488372093,0.873276484375,0.126723515625,0,5.47690596032312,21.373463295378,0.109036278620422,-1.06600897970777,3346.92590625,3704.38730729167,3.63178025310246e-05,4.85948880201045e-05,36.3178025310246,48.5948880201045,1.22770854890799e-05
G0-L1,31,21,1e-06,520,2,60,189,0,0,0,5552,0,0,0,0,189,0,0,0,0.999646744791667,0.000353255208333333,0,20.3773746987009,28.5820802103769,0.109036278620422,-1.06600897970777,25.7869947916667,267.392388020833,0,0.00066420285236429,0,664.20285236429,0.00066420285236429
GenGamma,31,21,1e-06,520,3,60,189,34,0.17989417989418,16999,37832947,0.000449317363513871,449.317363513871,34,14414,155,0.00235326688815061,0.17989417989418,0.00464576074332172,0.00238408854166668,0.997615911458334,0,1.04243612122118,0.586566155239367,0.109036278620422,-1.06600897970777,177.134109375,1141.39978125,0.000442589469736627,0.000456121889007545,442.589469736627,456.121889007545,1.35324192709185e-05
GenGamma-exact,31,21,1e-06,520,3,60,189,34,0.17989417989418,17980,36963993,0.000486419310814175,486.419310814175,34,15460,155,0.00219439783141861,0.17989417989418,0.00433590512019384,0.0251044010416667,0.974895598958333,0,1.13675964893666,0.616666205939391,0.109036278620422,-1.06600897970777,473.50759375,1434.51064583333,0.000479336748312384,0.000493580295075916,479.336748312384,493.580295075917,1.42435467635322e-05
K,31,21,1e-06,520,2,60,189,0,0,0,5552,0,0,0,0,189,0,0,0,0.999646744791667,0.000353255208333333,0,NaN,NaN,0.109036278620422,-1.06600897970777,10.4513958333333,250.845609375,0,0.00066420285236429,0,664.20285236429,0.00066420285236429
Lognormal,31,21,1e-06,520,2,60,189,2,0.0105820105820106,56,37914812,1.47699532309431e-06,1.47699532309431,2,15,187,0.117647058823529,0.0105820105820106,0.0194174757281553,0,1,0,0.330206143049672,0.0234864363882069,0.109036278620422,-1.06600897970777,6.87743489583333,245.439190104167,1.11563612355515e-06,1.91803656376092e-06,1.11563612355515,1.91803656376092,8.02400440205774e-07
Weibull,31,21,1e-06,520,2,60,189,141,0.746031746031746,18532,37914812,0.000488779952278281,488.779952278281,141,6020,48,0.0228858951468917,0.746031746031746,0.0444094488188976,0,1,0,3.88409481343037,0.260408799462111,0.109036278620422,-1.06600897970777,8.32878125,246.784513020833,0.000481769439487814,0.000495866916943594,481.769439487814,495.866916943594,1.40974774557801e-05
BurrXII,41,27,1e-06,952,3,60,189,31,0.164021164021164,227,22170573,1.02387971659551e-05,10.2387971659551,31,103,158,0.23134328358209,0.164021164021164,0.191950464396285,0.4105728125,0.5894271875,0,5.62501781399278,6.79061673070256,0.109743158004747,-1.07443833748282,348.4837265625,610.031520833333,8.95003348124439e-06,1.16609951640997e-05,8.95003348124439,11.6609951640997,2.71096168285526e-06
CA-CFAR,41,27,1e-06,952,0,60,189,31,0.164021164021164,177,37914812,4.66836021763737e-06,4.66836021763737,31,55,158,0.36046511627907,0.164021164021164,0.225454545454545,0,1,0,NaN,NaN,0.109743158004747,-1.07443833748282,0,238.282005208333,4.00589482415735e-06,5.40907159041877e-06,4.00589482415735,5.40907159041877,1.40317676626142e-06
G0,41,27,1e-06,952,3,60,189,28,0.148148148148148,235,4547081,5.16815073230497e-05,51.6815073230497,28,85,161,0.247787610619469,0.148148148148148,0.185430463576159,0.870662135416667,0.129337864583333,0,2.97808864780247,4.72803249648022,0.109743158004747,-1.07443833748282,3292.7868125,3644.75601302083,4.52846623353686e-05,5.87287265761711e-05,45.2846623353686,58.7287265761711,1.34440642408025e-05
G0-L1,41,27,1e-06,952,2,60,189,0,0,0,4845,0,0,0,0,189,0,0,0,0.999703567708333,0.000296432291666667,0,20.7080570556527,28.9380681444402,0.109743158004747,-1.07443833748282,24.8877161458333,260.640325520833,0,0.000761088853139913,0,761.088853139913,0.000761088853139913
GenGamma,41,27,1e-06,952,3,60,189,45,0.238095238095238,14148,37823015,0.000374057964443078,374.057964443078,45,12013,144,0.00373196218278321,0.238095238095238,0.00734873846656324,0.0026203125,0.9973796875,0,1.02634049765859,0.429666114197655,0.109743158004747,-1.07443833748282,176.376432291667,1127.86075520833,0.000367920493966569,0.000380272117326415,367.920493966569,380.272117326415,1.23516233598459e-05
GenGamma-exact,41,27,1e-06,952,3,60,189,45,0.238095238095238,16298,37048446,0.000439910489093119,439.910489093119,45,14077,144,0.00318651749044045,0.238095238095238,0.00628886870239676,0.0228610677083333,0.977138932291667,0,1.12000898398777,0.446323838593616,0.109743158004747,-1.07443833748282,478.759065104167,1429.85978645833,0.000433183784666069,0.000446715453685852,433.183784666069,446.715453685852,1.35316690197824e-05
K,41,27,1e-06,952,2,60,189,0,0,0,4845,0,0,0,0,189,0,0,0,0.999703567708333,0.000296432291666667,0,NaN,NaN,0.109743158004747,-1.07443833748282,15.4206197916667,250.311567708333,0,0.000761088853139913,0,761.088853139913,0.000761088853139913
Lognormal,41,27,1e-06,952,2,60,189,3,0.0158730158730159,77,37914812,2.03086856925468e-06,2.03086856925468,3,18,186,0.142857142857143,0.0158730158730159,0.0285714285714286,0,1,0,0.331275044844257,0.0177316640733797,0.109743158004747,-1.07443833748282,6.85183072916667,239.772815104167,1.6026719274247e-06,2.53826936099872e-06,1.6026719274247,2.53826936099872,9.35597433574024e-07
Weibull,41,27,1e-06,952,2,60,189,151,0.798941798941799,18694,37914812,0.000493052688748661,493.052688748661,151,5681,38,0.0258916323731139,0.798941798941799,0.0501577810994851,0,1,0,3.87155592099442,0.194297881583264,0.109743158004747,-1.07443833748282,8.075296875,241.009575520833,0.000486011506683343,0.000500170321214029,486.011506683343,500.170321214029,1.41588145306862e-05
BurrXII,51,41,1e-06,920,3,60,189,53,0.28042328042328,334,22372223,1.49292271939181e-05,14.9292271939181,53,151,136,0.259803921568627,0.28042328042328,0.269720101781171,0.405219973958333,0.594780026041667,0,5.30041653592766,6.5882556753633,0.110423433117789,-1.06777013545029,349.293877604167,615.2759453125,1.3370865522741e-05,1.66193229246747e-05,13.370865522741,16.6193229246747,3.2484574019337e-06
CA-CFAR,51,41,1e-06,920,0,60,189,50,0.264550264550265,408,37914812,1.07609659254014e-05,10.7609659254014,50,85,139,0.37037037037037,0.264550264550265,0.308641975308642,0,1,0,NaN,NaN,0.110423433117789,-1.06777013545029,0,242.832830729167,9.74198423774246e-06,1.185754851368e-05,9.74198423774246,11.85754851368,2.1155642759375e-06
G0,51,41,1e-06,920,3,60,189,46,0.243386243386243,271,4895120,5.53612577424047e-05,55.3612577424047,46,105,143,0.304635761589404,0.243386243386243,0.270588235294118,0.861488984375,0.138511015625,0,3.2323006521183,5.01703986008612,0.110423433117789,-1.06777013545029,3308.05858854167,3673.77363541667,4.89657051032666e-05,6.23600583840217e-05,48.9657051032666,62.3600583840217,1.33943532807551e-05
G0-L1,51,41,1e-06,920,2,60,189,0,0,0,7203,0,0,0,0,189,0,0,0,0.999619479166667,0.000380520833333333,0,21.927310189753,28.9615299046531,0.110423433117789,-1.06777013545029,24.7173333333333,265.12396875,0,0.000511999864031704,0,511.999864031704,0.000511999864031704
GenGamma,51,41,1e-06,920,3,60,189,79,0.417989417989418,14718,37817842,0.000389181381634626,389.181381634626,79,12061,110,0.00650741350906096,0.417989417989418,0.012815313488523,0.00272901041666666,0.997270989583333,0,1.03923191544702,0.44204542203071,0.110423433117789,-1.06777013545029,178.100200520833,1143.56669010417,0.000382920187370983,0.000395519262232058,382.920187370983,395.519262232058,1.25990748610752e-05
GenGamma-exact,51,41,1e-06,920,3,60,189,79,0.417989417989418,16943,37051724,0.000457279666662744,457.279666662744,79,14205,110,0.00553066367964156,0.417989417989418,0.0109168797070407,0.0227059895833333,0.977294010416667,0,1.13339453580072,0.456134658529155,0.110423433117789,-1.06777013545029,477.924205729167,1443.51763802083,0.000450421311405548,0.000464216268477238,450.421311405548,464.216268477238,1.37949570716897e-05
K,51,41,1e-06,920,2,60,189,0,0,0,7203,0,0,0,0,189,0,0,0,0.999619479166667,0.000380520833333333,0,NaN,NaN,0.110423433117789,-1.06777013545029,9.7185546875,248.974002604167,0,0.000511999864031704,0,511.999864031704,0.000511999864031704
Lognormal,51,41,1e-06,920,2,60,189,10,0.0529100529100529,73,37914812,1.92536890331937e-06,1.92536890331937,10,15,179,0.4,0.0529100529100529,0.0934579439252336,0,1,0,0.332298340868495,0.0182344460543223,0.110423433117789,-1.06777013545029,6.60754947916667,244.233625,1.50912216340473e-06,2.42089499278979e-06,1.50912216340473,2.42089499278979,9.11772829385061e-07
Weibull,51,41,1e-06,920,2,60,189,174,0.920634920634921,20764,37914812,0.000547648765870183,547.648765870183,174,5984,15,0.0282559272491069,0.920634920634921,0.0548290530959508,0,1,0,3.85967711001012,0.197615057527194,0.110423433117789,-1.06777013545029,8.34553645833333,245.918713541667,0.000540226830209743,0.000555147133947275,540.226830209743,555.147133947275,1.49203037375324e-05
BurrXII,61,49,1e-06,1320,3,60,189,69,0.365079365079365,411,22560984,1.82172905224347e-05,18.2172905224347,69,122,120,0.361256544502618,0.365079365079365,0.363157894736842,0.400265755208333,0.599734244791667,0,5.56652349850619,6.64272276986387,0.110639654706373,-1.06152903732262,350.887489583333,619.9283515625,1.64984080632705e-05,2.00665753776454e-05,16.4984080632705,20.0665753776454,3.56816731437493e-06
CA-CFAR,61,49,1e-06,1320,0,60,189,63,0.333333333333333,587,37914812,1.54820759760064e-05,15.4820759760064,63,95,126,0.39873417721519,0.333333333333333,0.363112391930836,0,1,0,NaN,NaN,0.110639654706373,-1.06152903732262,0,244.988299479167,1.42547876535181e-05,1.67867560422479e-05,14.2547876535181,16.7867560422479,2.53196838872973e-06
G0,61,49,1e-06,1320,3,60,189,63,0.333333333333333,344,5130305,6.70525436596849e-05,67.0525436596849,63,98,126,0.391304347826087,0.333333333333333,0.36,0.855373932291667,0.144626067708333,0,3.38085558013229,3.57262250260002,0.110639654706373,-1.06152903732262,3307.72309114583,3677.79478125,6.01534097870915e-05,7.45259762961861e-05,60.1534097870915,74.5259762961861,1.43725665090946e-05
G0-L1,61,49,1e-06,1320,2,60,189,0,0,0,5932,0,0,0,0,189,0,0,0,0.99967484375,0.00032515625,0,24.2000841753103,39.0918690267072,0.110639654706373,-1.06152903732262,25.1653802083333,267.411140625,0,0.00062166768487912,0,621.66768487912,0.00062166768487912
GenGamma,61,49,1e-06,1320,3,60,189,94,0.497354497354497,14035,37808902,0.000371208875624053,371.208875624053,94,11079,95,0.00841313881679048,0.497354497354497,0.0165463826791058,0.00294697916666666,0.997053020833333,0,1.05013819986012,0.367220464383703,0.110639654706373,-1.06152903732262,173.649591145833,1138.59100520833,0.000365093774350485,0.000377400689236748,365.093774350485,377.400689236748,1.23069148862634e-05
GenGamma-exact,61,49,1e-06,1320,3,60,189,93,0.492063492063492,16710,37085378,0.000450581897803495,450.581897803496,93,13625,96,0.00677941390873305,0.492063492063492,0.0133745595743151,0.021805546875,0.978194453125,0,1.14474205448474,0.380336656908066,0.110639654706373,-1.06152903732262,478.110716145833,1448.23770572917,0.000443777198714117,0.000457464774895782,443.777198714117,457.464774895782,1.36875761816657e-05
K,61,49,1e-06,1320,2,60,189,0,0,0,5932,0,0,0,0,189,0,0,0,0.99967484375,0.00032515625,0,NaN,NaN,0.110639654706373,-1.06152903732262,9.8377890625,251.084450520833,0,0.00062166768487912,0,621.66768487912,0.00062166768487912
Lognormal,61,49,1e-06,1320,2,60,189,17,0.0899470899470899,105,37914812,2.76936623080183e-06,2.76936623080183,17,24,172,0.414634146341463,0.0899470899470899,0.147826086956522,0,1,0,0.332623285193766,0.0155161714531265,0.110639654706373,-1.06152903732262,6.71525520833333,246.412934895833,2.26501942365983e-06,3.35251537511445e-06,2.26501942365983,3.35251537511445,1.08749595145462e-06
Weibull,61,49,1e-06,1320,2,60,189,181,0.957671957671958,21339,37914812,0.000562814342848383,562.814342848383,181,5865,8,0.0299371485279524,0.957671957671958,0.0580593424218123,0,1,0,3.85591199689274,0.166570278545074,0.110639654706373,-1.06152903732262,8.82699479166667,248.726924479167,0.000555290056623227,0.000570415056746862,555.290056623227,570.415056746862,1.51250001236347e-05
BurrXII,71,57,1e-06,1792,3,60,189,79,0.417989417989418,603,22732608,2.65257730217316e-05,26.5257730217316,79,155,110,0.337606837606838,0.417989417989418,0.373522458628842,0.395812552083333,0.604187447916667,0,5.79208426850182,5.9041382207096,0.110824169448695,-1.05298957290805,343.91575,609.122192708333,2.44505572075728e-05,2.87300412743179e-05,24.4505572075728,28.7300412743179,4.2794840667451e-06
CA-CFAR,71,57,1e-06,1792,0,60,189,72,0.380952380952381,660,37914812,1.74074448793258e-05,17.4074448793258,72,99,117,0.421052631578947,0.380952380952381,0.4,0,1,0,NaN,NaN,0.110824169448695,-1.05298957290805,0,242.5076796875,1.61045528735917e-05,1.87876687009412e-05,16.1045528735917,18.7876687009412,2.68311582734947e-06
