Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
Lognormal,15,11,1e-06,104,2,60,189,4,0.0211640211640212,85,37914812,2.24186790112529e-06,2.24186790112529,4,47,185,0.0784313725490196,0.0211640211640212,0.0333333333333333,0,1,0,0.326778938543229,0.0507669837582641,0.106784567694326,-0.946225814322558,6.86997395833333,243.3833671875
Weibull,15,11,1e-06,104,2,60,189,110,0.582010582010582,22818,37914812,0.000601822844327963,601.822844327963,110,10181,79,0.0106889515110291,0.582010582010582,0.0209923664122137,0,1,0,3.92482744786653,0.582178267563871,0.106784567694326,-0.946225814322558,8.48813020833334,244.756643229167
BurrXII,17,13,1e-06,120,3,60,189,4,0.0211640211640212,353,22782627,1.54942623605259e-05,15.4942623605259,4,239,185,0.0164609053497942,0.0211640211640212,0.0185185185185185,0.395470494791667,0.604529505208333,0,3.05994703659689,3.4035228822435,0.107254902632758,-0.963263827290802,375.404091145833,626.284377604167
CA-CFAR,17,13,1e-06,120,0,60,189,1,0.00529100529100529,73,37914812,1.92536890331937e-06,1.92536890331937,1,36,188,0.027027027027027,0.00529100529100529,0.00884955752212389,0,1,0,NaN,NaN,0.107254902632758,-0.963263827290802,0,225.923645833333
G0,17,13,1e-06,120,3,60,189,6,0.0317460317460317,275,7272646,3.78129225594096e-05,37.8129225594096,6,175,183,0.0331491712707182,0.0317460317460317,0.0324324324324324,0.801336328125,0.198663671875,0,27.7170709519684,47.4557304252481,0.107254902632758,-0.963263827290802,3495.763265625,3908.89465625
G0-L1,17,13,1e-06,120,2,60,189,0,0,0,8222,0,0,0,0,189,0,0,0,0.999522760416667,0.000477239583333333,0,10.9580077319186,18.1830346251835,0.107254902632758,-0.963263827290802,26.1724088541667,250.540401041667
GenGamma,17,13,1e-06,120,3,60,189,31,0.164021164021164,38188,37835491,0.00100931688715233,1009.31688715233,31,32351,158,0.000957321968995121,0.164021164021164,0.00190353381842744,0.00233617187500001,0.997663828125,0,1.27074148355253,1.44352956639652,0.107254902632758,-0.963263827290802,174.547244791667,1156.51172135417
GenGamma-exact,17,13,1e-06,120,3,60,189,25,0.132275132275132,31823,36178914,0.000879600753079542,879.600753079543,25,27880,164,0.000895896792689482,0.132275132275132,0.00177973944614508,0.045698828125,0.954301171875,0,1.37691043618916,1.48945640590018,0.107254902632758,-0.963263827290802,466.2807265625,1419.31436458333
K,17,13,1e-06,120,2,60,189,0,0,0,8222,0,0,0,0,189,0,0,0,0.999522760416667,0.000477239583333333,0,NaN,NaN,0.107254902632758,-0.963263827290802,11.0061770833333,233.7149140625
Lognormal,17,13,1e-06,120,2,60,189,1,0.00529100529100529,62,37914812,1.63524482199727e-06,1.63524482199727,1,32,188,0.0303030303030303,0.00529100529100529,0.00900900900900901,0,1,0,0.327497603478077,0.0472656221105979,0.107254902632758,-0.963263827290802,6.47450260416667,227.130213541667
Weibull,17,13,1e-06,120,2,60,189,117,0.619047619047619,22376,37914812,0.000590165131242112,590.165131242112,117,9404,72,0.0122886251444176,0.619047619047619,0.0240988671472709,0,1,0,3.91621946356527,0.541948620069244,0.107254902632758,-0.963263827290802,7.93872395833333,228.491666666667
BurrXII,21,15,1e-06,216,3,60,189,8,0.0423280423280423,270,21920774,1.23170833292657e-05,12.3170833292657,8,170,181,0.0449438202247191,0.0423280423280423,0.0435967302452316,0.417703333333333,0.582296666666667,0,3.81845884259573,4.75973570938385,0.108167498172672,-1.0200093248858,353.547442708333,608.677104166667
CA-CFAR,21,15,1e-06,216,0,60,189,4,0.0211640211640212,115,37914812,3.0331153956401e-06,3.0331153956401,4,48,185,0.0769230769230769,0.0211640211640212,0.033195020746888,0,1,0,NaN,NaN,0.108167498172672,-1.0200093248858,0,230.594299479167
G0,21,15,1e-06,216,3,60,189,13,0.0687830687830688,286,5451580,5.24618550952201e-05,52.4618550952201,13,159,176,0.0755813953488372,0.0687830687830688,0.0720221606648199,0.848317239583333,0.151682760416667,0,35.0905701040101,64.8008252645065,0.108167498172672,-1.0200093248858,3420.378859375,3789.1345703125
G0-L1,21,15,1e-06,216,2,60,189,0,0,0,6339,0,0,0,0,189,0,0,0,0.999582942708333,0.000417057291666667,0,13.7844098545925,21.2121687018737,0.108167498172672,-1.0200093248858,26.3593151041667,255.179208333333
GenGamma,21,15,1e-06,216,3,60,189,26,0.137566137566138,26568,37841887,0.000702079153716621,702.079153716621,26,22150,163,0.00117243867243867,0.137566137566138,0.00232506147999106,0.002167578125,0.997832421875,0,1.13766805361489,1.0214013403839,0.108167498172672,-1.0200093248858,174.9217265625,1138.67049479167
GenGamma-exact,21,15,1e-06,216,3,60,189,24,0.126984126984127,25041,36667301,0.000682924549041665,682.924549041665,24,21428,165,0.0011187768040276,0.126984126984127,0.00221801210664942,0.032916484375,0.967083515625,0,1.23747697545176,1.06444127370983,0.108167498172672,-1.0200093248858,475.497635416667,1427.29984375
K,21,15,1e-06,216,2,60,189,0,0,0,6339,0,0,0,0,189,0,0,0,0.999582942708333,0.000417057291666667,0,NaN,NaN,0.108167498172672,-1.0200093248858,11.15103125,238.666377604167
Lognormal,21,15,1e-06,216,2,60,189,1,0.00529100529100529,45,37914812,1.18687124177221e-06,1.18687124177221,1,24,188,0.04,0.00529100529100529,0.00934579439252336,0,1,0,0.328888275147962,0.0358046981281553,0.108167498172672,-1.0200093248858,6.5767109375,232.263802083333
Weibull,21,15,1e-06,216,2,60,189,121,0.64021164021164,19868,37914812,0.000524016840700674,524.016840700674,121,7331,68,0.0162372517444981,0.64021164021164,0.0316712472189504,0,1,0,3.89965205420419,0.402700992901659,0.108167498172672,-1.0200093248858,8.22976822916667,233.438203125
BurrXII,31,21,1e-06,520,3,60,189,17,0.0899470899470899,237,21937618,1.08033606930342e-05,10.8033606930342,17,115,172,0.128787878787879,0.0899470899470899,0.105919003115265,0.416839765625,0.583160234375,0,5.19052884456132,6.29112541470277,0.109036278620422,-1.06600897970777,352.0445859375,619.170169270833
CA-CFAR,31,21,1e-06,520,0,60,189,17,0.0899470899470899,161,37914812,4.24636155389614e-06,4.24636155389614,17,54,172,0.23943661971831,0.0899470899470899,0.130769230769231,0,1,0,NaN,NaN,0.109036278620422,-1.06600897970777,0,244.015575520833
G0,31,21,1e-06,520,3,60,189,21,0.111111111111111,188,4462993,4.21241978197143e-05,42.1241978197143,21,91,168,0.1875,0.111111111111111,0.13953488372093,0.873276484375,0.126723515625,0,5.47690596032312,21.373463295378,0.109036278620422,-1.06600897970777,3346.92590625,3704.38730729167
G0-L1,31,21,1e-06,520,2,60,189,0,0,0,5552,0,0,0,0,189,0,0,0,0.999646744791667,0.000353255208333333,0,20.3773746987009,28.5820802103769,0.109036278620422,-1.06600897970777,25.7869947916667,267.392388020833
GenGamma,31,21,1e-06,520,3,60,189,34,0.17989417989418,16999,37832947,0.000449317363513871,449.317363513871,34,14414,155,0.00235326688815061,0.17989417989418,0.00464576074332172,0.00238408854166668,0.997615911458334,0,1.04243612122118,0.586566155239367,0.109036278620422,-1.06600897970777,177.134109375,1141.39978125
